station,latitude,longitude,start,tripdurationS,end,tripdurationE,month
Grove St PATH,40.71958611647170,-74.0431174635887,3100,269.0,3548,266.0,Jan
Sip Ave,40.73089709786180,-74.06391263008120,1493,386.0,1310,362.0,Jan
Newport Pkwy,40.728744800000000,-74.03210820000000,641,509.0,661,492.0,Jan
Columbus Dr at Exchange Pl,40.71687,-74.03281,1152,296.0,1155,307.0,Jan
City Hall,40.717732500000000,-74.04384500000000,745,349.0,781,374.0,Jan
Columbus Drive,40.71835519823210,-74.03891444206240,556,280.0,606,284.0,Jan
Harborside,40.71925170000000,-74.034234,1091,323.0,1093,321.0,Jan
Marin Light Rail,40.71458403535890,-74.04281705617910,904,271.5,848,315.0,Jan
Newport PATH,40.7272235,-74.03375890000000,989,382.0,953,370.0,Jan
Newark Ave,40.72152515,-74.046304543,720,260.0,717,281.0,Jan
Van Vorst Park,40.71848892,-74.047726625,528,311.5,461,291.0,Jan
Journal Square,40.733670000000000,-74.0625,393,399.0,325,356.0,Jan
Warren St,40.721123600000000,-74.03805095,628,295.0,681,285.0,Jan
Hamilton Park,40.727595966000000,-74.044247311,1327,301.0,1342,309.0,Jan
Oakland Ave,40.7376037,-74.05247830000000,240,411.0,176,399.5,Jan
Fairmount Ave,40.72572613742560,-74.07195925712580,253,381.0,215,370.0,Jan
McGinley Square,40.7253399253558,-74.06762212514880,538,237.5,400,244.5,Jan
Hilltop,40.7311689,-74.0575736,150,457.0,113,427.0,Jan
Baldwin at Montgomery,40.7236589,-74.0641943,236,548.0,233,439.0,Jan
5 Corners Library,40.73496102000950,-74.05950307846070,127,399.0,100,564.5,Jan
Riverview Park,40.7443187,-74.04399090000000,118,719.0,102,362.0,Jan
Jersey & 3rd,40.723331586464400,-74.04595255851740,616,197.0,594,201.0,Jan
Brunswick & 6th,40.726011729646200,-74.0503889322281,776,326.0,651,331.0,Jan
Washington St,40.7242941,-74.0354826,575,327.0,614,347.5,Jan
Monmouth and 6th,40.72568548362900,-74.0487903356552,613,297.0,604,283.5,Jan
Manila & 1st,40.72165072488000,-74.04288411140440,632,254.5,666,261.5,Jan
Dixon Mills,40.72163014263840,-74.04996782541280,511,198.0,515,216.0,Jan
Jersey & 6th St,40.72528910781130,-74.04557168483730,584,240.5,483,262.0,Jan
JC Medical Center,40.71653978099190,-74.0496379137039,398,302.5,401,330.0,Jan
Brunswick St,40.7241765,-74.05065640000000,529,294.0,528,290.0,Jan
Morris Canal,40.7124188237569,-74.03852552175520,542,309.0,525,306.0,Jan
Christ Hospital,40.734785818,-74.050443636,147,458.0,124,519.5,Jan
Paulus Hook,40.7141454,-74.0335519,493,374.0,500,380.5,Jan
Grand St,40.71517767732030,-74.03768330812450,359,265.0,405,338.0,Jan
Bergen Ave,40.72210378668600,-74.07145500183100,275,374.0,283,361.0,Jan
Montgomery St,40.71942,-74.05099,259,410.0,245,323.0,Jan
Astor Place,40.71928220070700,-74.07126188278200,317,445.0,338,429.0,Jan
Essex Light Rail,40.712774200000000,-74.03648570000000,398,322.5,472,371.5,Jan
Hoboken Ave at Monmouth St,40.73520838045360,-74.04696375131610,150,533.5,189,514.0,Jan
York St,40.71649,-74.04105,192,242.0,245,318.0,Jan
Lincoln Park,40.7246050998869,-74.07840594649320,159,531.0,218,509.5,Jan
Glenwood Ave,40.72755146730010,-74.07106071710590,102,403.0,88,304.0,Jan
Lafayette Park,40.71346382669200,-74.06285852193830,212,563.0,201,586.0,Jan
Leonard Gordon Park,40.74590996631560,-74.05727148056030,89,546.0,77,526.0,Jan
Pershing Field,40.742677141,-74.051788633,235,558.0,247,509.0,Jan
Dey St,40.737711,-74.066921,94,293.0,130,234.5,Jan
Jackson Square,40.71113,-74.0789,76,999.5,61,781.0,Jan
Liberty Light Rail,40.711242300000000,-74.0557013,474,548.5,509,607.0,Jan
Heights Elevator,40.748715945380200,-74.04044330120090,140,757.5,107,1003.0,Jan
Communipaw & Berry Lane,40.71435836870430,-74.06661093235020,91,742.0,106,589.5,Jan
